Servicio,Distrito,Medidor
840759,1,9115955
419254,1,9116531
420516,1,9117584
420544,1,9118472
100517,18,9118764
526246,1,9120848
100570,18,9118733
319905,49,9116435
631076,1,9117228
3066065,46,9117350
419175,1,9117490
2736613,8,9119109
1072218,1,9115913
2940984,1,9119691
758856,1,9118028
3076590,1,
127628,37,9022023
1313050,1,9103014
576584,1,9117152
1070372,28,9119640
652623,1,9116877
363127,47,9117444
728180,1,9116448
419705,1,9117162
887450,1,6000005
100552,18,9119454
1175865,45,9119865
2995050,28,9117476
3065170,28,9119672
3081596,28,9117993
203875,8,9118392
3093706,1,9120519
1078156,45,9119221
127440,36,9115691
1047869,28,9102899
963794,35,9117836
167959,10,9103055
168824,8,9119115
329139,3,9118937
2855901,1,9116240
1232011,39,9118875
1426287,1,9117139
420277,1,9120863
120312,18,9021585
3090621,1,
519352,1,9119520
3086868,1,9116516
3076776,1,9117147
399535,47,9120245
420293,1,9118411
180720,17,9119410
1072597,1,9116335
3083070,1,9119521
100233,18,9102863
100248,18,9103096
100226,18,9115602
100227,18,9115584
362095,46,9117180
127623,37,9117546
123489,20,9094108
957350,26,9115758
3007516,45,9115784
363124,47,9115729
279283,28,9072559
419768,1,9116963
1194401,28,9119683
168790,8,9102950
329024,3,9115710
1304499,41,9115676
817484,1,9116569
3097564,1,9120905
2514521,1,9119737
970287,43,9115704
419753,1,9116506
100039,20,9118719
127450,36,9000982
127631,37,9027838
168241,8,9119138
279048,28,9118760
360078,22,9006363
360079,22,9018222
363005,47,9117720
363149,47,9119568
419720,1,9117326
420013,1,9116466
420657,1,9117286
420840,1,9006534
421343,1,9006636
421809,1,9017924
421880,1,9017528
144027,39,9013957
843236,1,9116643
852618,18,9029156
876147,18,9029728
876282,49,9119154
419758,1,9116626
418843,1,9117510
420523,1,9118499
887951,1,9115647
644523,1,9117054
570220,1,9118311
612057,1,9116655
466918,1,9119233
929655,28,9120149
362994,47,9103067
749170,1,9120040
947740,1,9117731
950876,35,9117535
951506,35,9119284
234259,28,9120081
419813,1,9116658
360164,23,9118846
746436,1,9118873
329880,4,9118990
127960,41,9007380
755328,1,9119899
870068,1,9116401
